,advisor,author,date_issued,date_created,abstract,subject,title,type
0,"Olivera Angulo, Javier Efraín","Cerna Maguiña, Arturo Homero",2023-05-08,2023,"Si bien el crecimiento económico percibido en las dos primeras décadas del siglo XXI permitió reducir los niveles de pobreza, no logró un impacto determinante en la reducción de la desigualdad de ingresos de las familias. Hoy en día, los niveles de desigualdad se mantienen similares a los de la década de 1960, lo que se traduce en un retraso en el desarrollo sostenible en aspectos sociales, económicos y políticos. En ese sentido, mediante el uso de regresiones Recentered Influence Function (RIF) y el método de descomposición según fuente de ingresos, este trabajo de investigación busca analizar y evaluar el impacto de los determinantes de la desigualdad de ingresos entre los años 2012 y 2020 a nivel de dominio geográfico, por deciles y según fuente de ingreso, para dar cuenta de los requerimientos específicos que deben llevarse a cabo según las necesidades de cada espacio analizado. El trabajo concluye que la heterogeneidad de las regiones permite corroborar que los activos económicos y sociales tienen efectos diferidos dependiendo del contexto en el que se aplican. La desigualdad es menor en la costa y en el área urbana, pero ante los efectos de una crisis, las familias de estos espacios se vuelven más vulnerables. Los programas sociales han demostrado ser el mecanismo más efectivo para reducir la desigualdad en el corto plazo; sin embargo, se requieren de políticas más estructuradas para combatir las deficiencias en cuanto a educación, formalidad, empleo, género, lengua y otros factores que atentan contra la igualdad de oportunidades. Así, resulta vital seguir indagando de manera desagregada para atender las necesidades sociales, priorizando siempre a los más vulnerables.","Distribución del ingreso--Perú
Disparidades económicas regionales--Perú
Perú--Condiciones económicas","Determinantes de la desigualdad de ingresos en Perú entre 2012 y 2020: un análisis a nivel de dominio geográfico, deciles y según fuente de ingreso",https://purl.org/pe-repo/renati/type#tesis
1,"Tello Pacheco, Mario Delfín","Lévano Torres, Valeria Cecilia",2023-05-08,2023,"El auge de la comercialización mediante las Cadenas Globales de Valor (CGV) es aquel que requiere de una política comercial adecuada que explique y facilite sus procesos. La presente tesis estima el impacto de los Acuerdos Comerciales Preferenciales (ACP) sobre las CGV en el periodo de 1999-2017 para 60 países con que Perú comercia. De tal forma se emplea una ecuación de gravedad aumentada que teóricamente ha sido ampliada para considerar la variable dependiente el cual es el Valor Agregado incorporado en las Exportaciones (VAE). Este indicador se utiliza como una medida de las CGV. La estimación de esta ecuación se realiza mediante tres métodos: Mínimos Cuadrados Ordinarios, Efectos Aleatorios y Efectos Fijos, siendo este último el más apropiado desde el punto de vista teórico y empírico para datos panel; así los problemas subyacentes como la formación endógena de los acuerdos comerciales se mitigan. Los resultados muestran que tener un acuerdo comercial, en general, no favorece al incremento del VAE; pero cuando se analizan específicamente seis acuerdos, son solo aquellos que Perú ha firmado con Estados Unidos, Chile, y China, y que entraron en vigor en 2009, 2009 y 2010 respectivamente los que sí favorecen su incremento. Estos resultados sugieren que una política comercial implementada para este tipo de comercialización es necesaria para una mayor inserción a esta ?nueva? forma de producción transfronteriza que implica beneficios y oportunidades al país.","Tratados comerciales--Perú
Productividad industrial
Perú--Comercio--Siglo XXI","Acuerdos comerciales preferenciales y las cadenas globales de valor en el Perú, 1999 - 2017",https://purl.org/pe-repo/renati/type#tesis
2,"Lahura Serrano, Erick Wilfredo","Aguilar Muñiz, José Alberto",2023-05-08,2023,"l objetivo de esta tesis es analizar el impacto del gastopúblico sobre laecono- mía tomando en cuenta que los cambios en el gasto público pueden ser anticipados por los agentes económicos.En particular, se estima el efecto causal de los choquesfiscales anticipados y no anticipados sobre elPBI real y el consumo privado real.Se propone un esquema de identificación que consiste en la incorporación de unav ariable que capture laprevisibilidad del gastopúblico en unmodelo VAR estándar.Para ello,se utiliza las proyecciones del gastopúblico publicadas en los Reportesde Inflación del Banco Central de Reserva de lPerú a partir del 2002. Elanálisis empírico se basa en la estimación de dos modelos de vectores autorregresivos(VAR):el primero incorpora el gasto público,los términos de intercambio, el PBI y el consumo privado; mientras que el segundo añade al primero las proyecciones del gasto público.Los resultados mues- tran que choques de las proyecciones del gasto público,que pueden ser entendidas como choques de noticias, tienen un impacto positivo sobre el consumo y el producto. Además, se muestra que cuando no se incluye el efecto anticipado del gasto público en el modelo VAR, se sobreestima el efecto del gasto público sobre el consumo y el producto. Este resultado indica que es importante incluir una variable que capture la previsibilidad del gasto público en un modelo VAR para medir el efecto del gasto público.","Gastos públicos--Perú
Producto interno bruto--Perú
Perú--Condiciones económicas",Choques fiscales anticipados y no anticipados en el Perú,https://purl.org/pe-repo/renati/type#tesis
3,"Clausen Lizarraga, Jhonatan Augusto","Salcedo Zeballos, Micaela",2023-04-19,2023,"Esta investigación contribuye con la literatura sobre la medición del empoderamiento de las mujeres y estudios del desarrollo al llevar a cabo un diagnóstico de la situación del empoderamiento de las mujeres con pareja en edad fértil (entre 15 y 49 años) de países de ingresos bajos y medios. Específicamente, la pregunta que busca responder es: ¿cuál es la situación de las mujeres en países de ingresos bajos y medios en relación a su desempeño en dimensiones básicas del empoderamiento? Para ello, a partir de la información de las Demographic and Health Surveys (DHS) de 50 países, se estima un Índice de Desempoderamiento Multidimensional Global (IDM Global) basado en el método Alkire-Foster (Alkire & Foster, 2011) tomando en cuenta las siguientes dimensiones: (i) salud, (ii) relaciones sociales, (iii) entorno material, y (iv) violencia, cada una con dos indicadores. Los resultados de la investigación sugieren que el empoderamiento no se manifiesta de manera uniforme a través de los países incluidos en el análisis, incluso para países dentro de una misma región. Esto da cuenta de la diversidad a nivel global en relación a cuáles son los elementos que contribuyen de forma más relevante a limitar el empoderamiento de las mujeres en países de ingresos bajos y medios. A su vez, este resultado muestra que la promoción del empoderamiento de las mujeres requeriría de estrategias de política flexibles, adaptadas a la particular realidad de cada país. Finalmente, se encontró que los países con mayores niveles de desempoderamiento suelen tener mayores niveles pobreza (monetaria o multidimensional) y menores niveles de PBI per cápita y desarrollo humano.","Mujeres--Paises en Desarrollo
Empoderamiento",Análisis multidimensional del empoderamiento de las mujeres en 50 países de ingresos bajos y medios,https://purl.org/pe-repo/renati/type#tesis
4,"Tovar Rodríguez, Patricia","Miranda Hilares, Goel Estefano",2023-01-31,2022,"Las exportaciones del Perú han ido a ritmo con el crecimiento de las exportaciones mundiales, sin embargo ¿El aumento de las exportaciones se ha dado lugar gracias al aumento de transacciones con socios comerciales antiguos más que con nuevos socios comerciales? En el presente estudio se analiza la importancia de la experiencia en el comercio internacional del Perú. Con la metodología de la ecuación de gravedad se busca contribuir a la literatura acerca del efecto de la experiencia en el valor de las exportaciones del Perú a sus socios comerciales y, además, cuantificar el efecto que tiene esta en el valor de las exportaciones de manera global y desagregada en los principales sectores económicos. Además, se analizará los spillovers que la experiencia ocasiona en los sectores económicos al nivel de 10 dígitos, de esta manera se desagregará las exportaciones en un margen extensivo (número de productos) y margen extensivo (valor promedio de las exportaciones). Entre los principales resultados se encuentra que la experiencia tiene un efecto positivo y significativo en el valor total de las exportaciones. Por otro lado, con datos desagregados por sectores se encuentra que la variable no es significativa en todos los casos. Por último, se comprueba que la experiencia tiene un efecto spillover en productos a nivel de 10 dígitos.",Exportación--Perú,La experiencia exportando y su impacto en el valor de las exportaciones: aplicación al caso peruano,https://purl.org/pe-repo/renati/type#tesis
5,"Rodríguez Briones, Gabriel Hender","Díaz González, Joaquín
Palermo Llanco, Khertd Victor",2023-01-26,2022,"Utilizando datos trimestrales del producto de los países del G7 y América Latina, comparamos empíricamente los estimados de ciclos económicos obtenidos usando diez métodos de descomposición tendencia-ciclo del producto. Los resultados indi- can los siguiente: (i) la descomposición de Beveridge y Nelson (1981) y los modelos UCUR de Grant y Chan (2017a) estiman ciclos volátiles que no permiten identificar los periodos de recesión; (ii) los filtros estadísticos (HP, BK, CF, KMW) identifican las recesiones y expansiones de mejor manera; (iii) los mejores procedimientos son los de Perron y Wada (2009, 2016), Perron, Shintani y Yabu (2017) y Hamilton (2018), los cuales presentan ciclos con mayor persistencia y profundidad que permiten una adecuada identificación de los períodos recesivos; (iv) los mejores modelos atribuyen un rol más importante a los choques que afectan al componente cíclico; (v) existe una similitud en la persistencia y profundidad de los ciclos económicos de Brasil, Chile, México y los países del G7 comparados con los hallados para Argentina y Perú; y (vi) el modelo de tendencia determinística con quiebres, a pesar de su simplicidad, se aproxima en varios periodos a las estimaciones de los mejores métodos.","Teoría bayesiana de decisiones estadísticas
Descomposición en valores singulares
Economía--América Latina",Trend-Cycle Decomposition for Latin American and G7 Countries: Application and Empirical Comparison of Old and New Univariate Methodologies,https://purl.org/pe-repo/renati/type#tesis
9,"Orihuela Paredes, José Carlos","Paredes Corcuera, Jorge Luis",2023-01-18,2022,"En el presente documento se aborda, desde mi experiencia laboral en procesos de fiscalización de precios de transferencia por parte de SUNAT, la aplicación de una metodología que permita evaluar adecuadamente el cumplimiento del Principio de Libre Concurrencia en operaciones de importación de mercadería de empresas del sector retail peruano a proveedores domiciliados en territorios no cooperantes o de bajo o nula imposición tributaria. La discusión respecto a la forma de determinar la aproximación a un ?valor de mercado? en este tipo de operaciones se centra principalmente no en la metodología aplicada (a saber, el método del Precio de Reventa), sino en la forma de enfocar el análisis sobre los diferentes segmentos de negocio de las empresas retail y de sus estrategias comerciales que para la determinación de los precios de venta. Dicha discusión nace por un desconocimiento de la naturaleza y estrategia de negocio de la industria retail por parte de SUNAT, lo cual genera que la autoridad tributaria intente imponer una metodología que no se ajusta a la realidad comercial de los minoristas y reclamando así el reparo tributario de montos importantes en el pago del impuesto a la renta de dichas compañías. La metodología propuesta en el presente documento se basa en una evaluación metodológica sobre la naturaleza de las operaciones bajo análisis (importación de mercadería de paraísos fiscales) y la estrategia comercial seguida por las empresas retail en la determinación de los precios de venta minoristas (enfoque de portafolio).","Impuestos--Perú
Precios de transferencia--Perú
Almacenes al por menor--Perú",Precios de transferencia en la industrial retail peruana: El caso de la importación de mercadería de paraísos fiscales para su reventa en el mercado nacional,https://purl.org/pe-repo/renati/type#tesis
10,"Tovar Rodríguez, Patricia","Quicaña Oriundo, Juan Enrique",2023-01-18,2022,"La presente investigación busca corroborar la hipótesis del impacto negativo de las Medidas No Arancelarias (MNA) técnicas sobre las exportaciones peruanas, totales y desagregadas, en el año 2016, dada la estructura productiva del país. Para ello, se utilizan el modelo de gravedad y las medidas de inventario (índice de frecuencia y prevalencia) planteados por UNCTAD (2018, 2013), Murina y Nicita (2017), Kang y Ramizo (2017), Theie (2014) y Disdier et al. (2008) para la correcta especificación y cuantificación de las MNA técnicas. El método de estimación que se utiliza es el Pseudo Poisson Maximum Likelihood (PPML) presentado en Santos Silva y Tenreyro (2006). Los principales resultados del estudio nos indican que sí hubo una reducción significativa de los flujos exportados por Perú en dicho año. Sin embargo, los procesos de armonización incluidos en los Acuerdos Comerciales (ALC) han ayudado a revertir este efecto nocivo. También se encuentra que, a nivel de MNA desagregada, que solo los Obstáculos Técnicos al Comercio (OTC) presentan efectos negativos sobre las exportaciones, pero dicho efecto fue neutralizado por los procesos mencionados en los ALC. A nivel de exportaciones desagregadas, se evidencian efectos combinados de las MNA técnicas con 5 sectores beneficiados y 2 secciones perjudicadas. Respecto a las Medidas Sanitarias y Fitosanitarias (MSF), Obstáculos Técnicos al Comercio (OTC) e Inspecciones Previas a la Expedición (IPE) se encuentra que 5, 4 y 3 secciones favorecidas, y 6, 3 y 10 sectores afectados, respectivamente. La inclusión de disposiciones sobre estas medidas en los ALC tiene efectos heterogéneos en cada sección.","Aranceles de aduana
Comercio exterior
Exportación--Perú
Política sanitaria",Impacto de las medidas no arancelarias técnicas: un análisis gravitacional de las exportaciones peruanas,https://purl.org/pe-repo/renati/type#tesis
19,"Orihuela Paredes, José Carlos","Sanabria Bolaños, William Alberto",2023-01-17,2022,"El presente informe presenta mi experiencia profesional como asistente técnico del área de Diseño del Consorcio Besalco-Stracon, contratista gestor del expediente técnico del proyecto Quebrada San Idelfonso. Participé en la elaboración del estudio de análisis costo-beneficio del proyecto Quebrada San Idelfonso que forma parte de los expedientes técnicos del Paquete 1 de Soluciones integrales ?Quebradas San Idelfonso y San Carlos?, desarrollados en el marco del acuerdo Gobierno a Gobierno entre la Autoridad para la Reconstrucción con Cambios y el Gobierno del Reino Unido. La implementación del análisis costo-beneficio en la elaboración del expediente técnico del proyecto Quebrada San Idelfonso fue idóneo ya que permitió optimizar el recurso público al elegir entre las distintas alternativas técnicas del proyecto la mejor (opción de diseño preferida) desde el punto de vista técnico-económico.","Análisis costo-beneficio--Perú
Toma de decisiones--Perú
Administración de proyectos--Perú",Análisis costo-beneficio del proyecto Quebrada San Idelfonso,https://purl.org/pe-repo/renati/type#tesis
21,"Rodríguez Briones, Gabriel Hender","Meléndez Holguín, Alexander Leonid",2023-01-17,2022,"Esta investigación evalúa el impacto y la evolución de la política fiscal sobre la actividad económica peruana en el periodo 1993T4-2018T2 usando modelos TVP-VAR-SV irrestrictos y restrictos siguiendo el enfoque de Chan y Eisenstat (2018a). Los resultados señalan que la inclusión de volatilidad estocástica es indispensable y que no hay una clara evidencia de parámetros cambiantes según dos criterios de selección bayesianos. Los choques del crecimiento del gasto corriente y del crecimiento del gasto de capital impactan positivamente sobre el crecimiento del PBI (0.2% y 0.3%, respectivamente, ante un incremento de 1% de cada variable), y son importantes en la descomposición de la varianza del error de predicción (23% y 45%, respectivamente) y en la descomposición histórica del mismo (14% y 25%, respectivamente). El impacto de los choques del crecimiento de los ingresos fiscales es débil en todo el periodo de estudio. Los multiplicadores de gasto corriente y de gasto de capital se incrementan entre 1995T1- 2007T4, pero luego muestran valores menores entre 2008T1-2018T2. Adicionalmente, se encuentra que los choques externos tienen un impacto fuerte y positivo sobre el crecimiento de los ingresos fiscales (0.4%). Por último, se realizan diferentes ejercicios de robustez en los que se observan pocos cambios respecto a los resultados obtenidos en el modelo baseline.","Aproximaciones estocásticas
Políticas fiscal--Perú
Teoría bayesiana de decisiones estadísticas
Economía--Perú",Evolution over time of the effects of fiscal shocks in the peruvian economy: Empirical application using TVP-VAR-SV models,https://purl.org/pe-repo/renati/type#tesis
